CL:0000000	cell
FF:0010034	parietal lobe - adult
FF:0010035	paracentral gyrus - adult
FF:0010036	occipital pole - adult
FF:0010037	nucleus accumbens - adult
FF:0010038	medulla oblongata - adult
FF:0010039	insula - adult
FF:0010040	frontal lobe - adult
FF:0010041	dura mater - adult
FF:0010042	corpus callosum - adult
FF:0010043	thymus - fetal
FF:0010044	spleen - fetal
FF:0010045	kidney - fetal
FF:0010046	heart - fetal
FF:0010047	tonsil - adult
FF:0010048	smooth muscle - adult
FF:0010049	pancreas - adult
FF:0010052	aorta - adult
FF:0010053	blood - adult
FF:0010054	eye - fetal
FF:0010055	uterus - fetal
FF:0010056	spinal cord - fetal
FF:0010057	umbilical cord - fetal
FF:0010058	trachea - fetal
FF:0010059	tongue - fetal
FF:0010060	thyroid - fetal
FF:0010061	throat - fetal
FF:0010062	stomach - fetal
FF:0010063	duodenum - fetal
FF:0010064	small intestine - fetal
FF:0010065	skin - fetal
FF:0010066	skeletal muscle - fetal
FF:0010067	rectum - fetal
FF:0010068	lung - fetal
FF:0010069	diaphragm - fetal
FF:0010070	colon - fetal
FF:0010071	temporal lobe - fetal
FF:0010072	parietal lobe - fetal
FF:0010073	occipital lobe - fetal
FF:0010074	skin - adult
FF:0010076	occipital lobe - adult
FF:0010077	lymph node - adult
FF:0010078	left ventricle - adult
FF:0010079	left atrium - adult
FF:0010080	breast - adult
FF:0010081	adrenal gland - adult
FF:0010083	cerebellum - adult
FF:0010085	brain - fetal
FF:0010086	liver - fetal
FF:0010087	putamen - adult donor
FF:0010093	salivary gland - adult
FF:0010100	uterus - adult
FF:0010150	medial temporal gyrus - adult
FF:0010151	amygdala - adult donor
FF:0010153	hippocampus - adult
FF:0010154	thalamus - adult donor
FF:0010156	GTM (medial temporal gyrus donor
FF:0010158	substantia nigra - adult donor
FF:0010159	spinal cord - adult
FF:0010160	pineal gland - adult
FF:0010161	globus pallidus - adult donor
FF:0010162	pituitary gland - adult
FF:0010163	occipital cortex - adult donor
FF:0010164	caudate nucleus - adult donor
FF:0010188	cerebral meninges - adult
FF:0010189	appendix - adult
FF:0010190	artery - adult
FF:0010191	vein - adult
FF:0010192	bone marrow - adult
FF:0010193	diencephalon - adult
FF:0010195	olfactory region - adult
FF:0010196	ductus deferens - adult
FF:0010198	gall bladder - adult
FF:0010199	parotid gland - adult
FF:0010200	penis - adult
FF:0010201	seminal vesicle - adult
FF:0010202	submaxillary gland - adult
FF:0010203	tongue - adult
FF:0010204	vagina - adult
FF:0010205	heart, mitral valve - adult
FF:0010206	heart, pulmonic valve - adult
FF:0010207	heart, tricuspid valve - adult
FF:0010208	rectum - adult
FF:0010209	throat - adult
FF:0011100	CD14-CD16-positive Monocytes
FF:0011101	CD14-positive monocytes - mock treated
FF:0011102	CD14-positive monocytes - treated with B-glucan
FF:0011103	CD14-positive monocytes - treated with BCG
FF:0011104	CD14-positive monocytes - treated with Candida
FF:0011105	CD14-positive monocytes - treated with Cryptococcus
FF:0011106	CD14-positive monocytes - treated with Group A streptococci
FF:0011108	CD14-positive monocytes - treated with lipopolysaccharide
FF:0011109	CD14-positive monocytes - treated with Salmonella
FF:0011111	CD14-positiveCD16- Monocytes
FF:0011112	CD14-positiveCD16-positive Monocytes
FF:0011113	CD326-positive enterocyte isolated from mice- treated with RANKL- day03
FF:0011122	CD4-positiveCD25-CD45RA- naive conventional T cells
FF:0011131	CD41-positive megakaryocyte cancer
FF:0011132	Hep-2 cells mock treated
FF:0011133	Hep-2 cells treated with Streptococci strain 5448
FF:0011134	Hep-2 cells treated with Streptococci strain JRS4
FF:0011135	immature langerhans cells
FF:0011136	migratory langerhans cells
FF:0011138	natural helper cells- IL33 treated- 01hr
FF:0011139	natural helper cells- IL33 treated- day02
FF:0011140	natural helper cells- naive
FF:0011142	neurospheres - enteric neuron derived
FF:0011143	neurospheres - parasympathetic neuron derived
FF:0011144	neurospheres - sympathetic neuron derived
FF:0011147	achilles tendon
FF:0011148	arachnoid mater
FF:0011149	CD326-positive enterocyte
FF:0011151	cerebrospinal fluid
FF:0011152	cruciate ligament
FF:0011153	eye - muscle inferior rectus
FF:0011154	eye - muscle lateral
FF:0011155	eye - muscle medial
FF:0011156	eye - muscle superior
FF:0011157	eye - vitreous humor
FF:0011159	GP2-positive M cell
FF:0011160	mesothelium
FF:0011161	Mouse hepatic Sinusoidal Endothelial Cells
FF:0011164	olfactory epithelium
FF:0011165	omentum
FF:0011166	optic nerve
FF:0011167	Parathyroid
FF:0011168	pia mater
FF:0011169	Reticulocytes
FF:0011170	sciatic nerve
FF:0011172	skeletal muscle - lateralis muscle
FF:0011173	skeletal muscle - soleus muscle
FF:0011174	Skin - armpit hair follicle
FF:0011175	Skin - armpit sweat gland rich
FF:0011176	Skin - cornified area on sole of foot
FF:0011177	Skin - palm
FF:0011178	Skin - torso
FF:0011180	Ureter
FF:0011181	Urethra
FF:0011182	cerebellum- embryo E11
FF:0011183	cerebellum- embryo E12
FF:0011184	cerebellum- embryo E13
FF:0011185	cerebellum- embryo E14
FF:0011186	cerebellum- embryo E15
FF:0011187	cerebellum- embryo E16
FF:0011188	cerebellum- embryo E17
FF:0011189	cerebellum- embryo E18
FF:0011190	cerebellum- neonate N00
FF:0011191	cerebellum- neonate N03
FF:0011192	cerebellum- neonate N06
FF:0011193	cerebellum- neonate N09
FF:0011194	trophoblast stem cell line R1AB differentiation- day00
FF:0011196	trophoblast stem cell line R1AB differentiation- day02
FF:0011197	trophoblast stem cell line R1AB differentiation- day03
FF:0011198	trophoblast stem cell line R1AB differentiation- day04
FF:0011199	trophoblast stem cell line R1AB differentiation- day05
FF:0011200	trophoblast stem cell line R1AB differentiation- day06
FF:0011201	trophoblast stem cell line Rybp differentiation- day00
FF:0011202	trophoblast stem cell line Rybp differentiation- day01
FF:0011203	trophoblast stem cell line Rybp differentiation- day02
FF:0011204	trophoblast stem cell line Rybp differentiation- day03
FF:0011205	trophoblast stem cell line Rybp differentiation- day04
FF:0011206	trophoblast stem cell line Rybp differentiation- day05
FF:0011207	trophoblast stem cell line Rybp differentiation- day06
FF:0011208	trophoblast stem cell line B1 differentiation- day01
FF:0011209	trophoblast stem cell line B1 differentiation- day02
FF:0011210	trophoblast stem cell line B1 differentiation- day03
FF:0011211	trophoblast stem cell line B1 differentiation- day04
FF:0011212	trophoblast stem cell line B1 differentiation- day05
FF:0011213	trophoblast stem cell line B1 differentiation- day06
FF:0011214	Monocyte-derived macrophages 0h after mock infection
FF:0011215	Monocyte-derived macrophages 0h after udorn influenza infection
FF:0011216	Monocyte-derived macrophages 2h after udorn influenza infection
FF:0011217	Monocyte-derived macrophages 7h after udorn influenza infection
FF:0011218	Monocyte-derived macrophages 24h after udorn influenza infection
FF:0011219	Monocyte-derived macrophages 24h after mock infection
FF:0011220	ES cells differentiated towards cardiomyocyte- day1
FF:0011221	ES cells differentiated towards cardiomyocyte- day2
FF:0011222	ES cells differentiated towards cardiomyocyte- day3
FF:0011223	ES cells differentiated towards cardiomyocyte- day4
FF:0011224	ES cells differentiated towards cardiomyocyte- day5
FF:0011225	ES cells differentiated towards cardiomyocyte- day6
FF:0011226	ES cells differentiated towards cardiomyocyte- day7
FF:0011227	ES cells differentiated towards cardiomyocyte- day8
FF:0011228	ES cells differentiated towards cardiomyocyte- day9
FF:0011229	ES cells differentiated towards cardiomyocyte- day10
FF:0011230	ES cells differentiated towards cardiomyocyte- day11
FF:0011231	ES cells differentiated towards cardiomyocyte- day13
FF:0011232	tracheal ciliated cells differentiation after 0hr
FF:0011233	tracheal ciliated cells differentiation after 4hr
FF:0011234	tracheal ciliated cells differentiation after 8hr
FF:0011235	tracheal ciliated cells differentiation after 12hr
FF:0011236	tracheal ciliated cells differentiation after 16hr
FF:0011237	tracheal ciliated cells differentiation after 20hr
FF:0011238	tracheal ciliated cells differentiation after 24hr
FF:0011239	tracheal ciliated cells differentiation after 30hr
FF:0011240	tracheal ciliated cells differentiation after 36hr
FF:0011241	tracheal ciliated cells differentiation after 42hr
FF:0011242	tracheal ciliated cells differentiation after 48hr
FF:0011243	tracheal ciliated cells differentiation after 54hr
FF:0011244	tracheal ciliated cells differentiation after 60hr
FF:0011245	tracheal ciliated cells differentiation after 66hr
FF:0011246	tracheal ciliated cells differentiation after 72hr
FF:0011247	tracheal ciliated cells differentiation after 84hr
FF:0011248	tracheal ciliated cells differentiation after 96hr
FF:0011249	tracheal ciliated cells differentiation after 120hr
FF:0011250	cerebellum- neonate N30
FF:0011251	pancreas- neonate N01
FF:0011252	eyeball- neonate N01
FF:0011253	pancreas- embryo E18
FF:0011254	pancreas- neonate N02
FF:0011255	pancreas- neonate N30
FF:0011256	pancreas- neonate N25
FF:0011257	pancreas- embryo E15
FF:0011258	pancreas- embryo E17
FF:0011262	pancreas- embryo E14
FF:0011263	pancreas- embryo E16
FF:0011264	eyeball- neonate N00
FF:0011265	intestine- neonate N00
FF:0011266	pancreas- neonate N00
FF:0011267	pancreas- neonate N16
FF:0011268	visual cortex from wildtype- neonate N15
FF:0011269	visual cortex from wildtype- neonate N30
FF:0011270	visual cortex from wildtype- neonate N60-70
FF:0011271	visual cortex from Mecp knockout- neonate N15
FF:0011272	visual cortex from Mecp knockout- neonate N30
FF:0011273	visual cortex from Mecp knockout- neonate N60-70
FF:0011274	Ileum epithelium
FF:0011275	trophoblast stem cell line B1 differentiation- day00
FF:0011276	mouse cerebellum - adult
FF:0011277	forelimb- embryo E17
FF:0011278	forelimb- embryo E18
FF:0011280	thymus- neonate N02
FF:0011281	eyeball- neonate N02
FF:0011282	gonad- embryo E13
FF:0011283	corpora quadrigemina- adult
FF:0011284	medulla oblongata- adult
FF:0011285	intestine- adult
FF:0011286	olfactory brain- adult
FF:0011287	mouse fibroblast cell line: CRL-1658 NIH/3T3
FF:0011288	corpus striatum- adult
FF:0011289	epididymis- adult
FF:0011303	pituitary gland- adult
FF:0011304	thymus- neonate N03
FF:0011305	spinal cord- adult
FF:0011306	spleen- adult
FF:0011307	lung- adult
FF:0011308	skin- adult
FF:0011309	eyeball- adult
FF:0011310	tongue- adult
FF:0011311	whole body- embryo E11
FF:0011312	stomach- adult
FF:0011313	heart- embryo E11
FF:0011314	forelimb- embryo E11
FF:0011315	pancreas- adult
FF:0011316	eyeball- embryo E12
FF:0011317	pituitary gland- embryo E12
FF:0011318	heart- embryo E12
FF:0011319	lung- embryo E12
FF:0011320	liver- embryo E12
FF:0011321	stomach- embryo E12
FF:0011322	forelimb- embryo E12
FF:0011323	colon- adult
FF:0011324	cecum - adult
FF:0011325	pituitary gland- embryo E13
FF:0011326	whole body- embryo E13
FF:0011327	heart- embryo E13
FF:0011328	liver- embryo E13
FF:0011329	thymus- adult
FF:0011330	intestine- embryo E13
FF:0011331	forelimb- embryo E13
FF:0011332	testis- embryo E13
FF:0011333	whole body- embryo E14
FF:0011334	pituitary gland- embryo E14
FF:0011335	eyeball- embryo E14
FF:0011336	thymus- embryo E14
FF:0011337	heart- embryo E14
FF:0011338	lung- embryo E14
FF:0011339	adrenal gland - embryo E14
FF:0011340	liver- embryo E14
FF:0011341	kidney- embryo E14
FF:0011342	forelimb- embryo E14
FF:0011343	whole body- embryo E14.5
FF:0011344	eyeball- embryo E15
FF:0011345	pituitary gland- embryo E15
FF:0011346	thymus- embryo E15
FF:0011347	heart- embryo E15
FF:0011348	lung- embryo E15
FF:0011349	liver- embryo E15
FF:0011350	kidney- embryo E15
FF:0011351	forelimb- embryo E15
FF:0011352	testis- embryo E15
FF:0011353	pituitary gland- embryo E16
FF:0011354	whole body- embryo E16
FF:0011355	thymus- embryo E16
FF:0011356	heart- embryo E16
FF:0011357	lung- embryo E16
FF:0011358	stomach- embryo E16
FF:0011359	mouse aorta - adult
FF:0011360	spleen- embryo E16
FF:0011361	liver- embryo E16
FF:0011362	intestine- embryo E16
FF:0011363	kidney- embryo E16
FF:0011364	testis- embryo E16
FF:0011365	whole body- embryo E17
FF:0011366	thymus- embryo E17
FF:0011367	heart- embryo E17
FF:0011368	lung- embryo E17
FF:0011369	liver- embryo E17
FF:0011370	intestine- embryo E17
FF:0011371	kidney- embryo E17
FF:0011372	testis- embryo E17
FF:0011373	mouse adrenal gland - adult
FF:0011374	whole body- embryo E17.5
FF:0011375	whole body- embryo E18
FF:0011376	liver- embryo E18
FF:0011377	testis- embryo E18
FF:0011378	ovary- embryo E18
FF:0011379	liver- adult pregnant day01
FF:0011380	vesicular gland- adult
FF:0011381	placenta- adult pregnant day10
FF:0011383	testis- adult
FF:0011384	placenta- adult pregnant day17
FF:0011386	amnion - adult pregnant day17.5
FF:0011387	mammary gland- adult pregnant day19
FF:0011388	submandibular gland- adult
FF:0011389	uterus- adult pregnant day19
FF:0011390	mammary gland- adult lactating day02
FF:0011391	hippocampus- neonate N00
FF:0011392	corpus striatum- neonate N00
FF:0011393	heart- neonate N00
FF:0011394	lung- neonate N00
FF:0011395	liver- neonate N00
FF:0011396	kidney- neonate N00
FF:0011397	skin- neonate N00
FF:0011398	whole body- neonate N00
FF:0011399	whole body- neonate N01
FF:0011400	skin- neonate N03
FF:0011401	thymus- neonate N06
FF:0011402	lung- neonate N06
FF:0011403	liver- neonate N06
FF:0011404	intestine- neonate N06
FF:0011405	whole body- neonate N06
FF:0011406	skin- neonate N06
FF:0011407	thymus- neonate N07
FF:0011408	lung- neonate N07
FF:0011409	liver- neonate N07
FF:0011410	stomach- neonate N07
FF:0011411	intestine- neonate N07
FF:0011412	testis- neonate N07
FF:0011413	thymus- neonate N10
FF:0011414	heart- neonate N10
FF:0011415	lung- neonate N10
FF:0011416	liver- neonate N10
FF:0011417	spleen- neonate N10
FF:0011418	intestine- neonate N10
FF:0011419	kidney- neonate N10
FF:0011420	whole body- neonate N10
FF:0011421	skin- neonate N10
FF:0011422	testis- neonate N10
FF:0011423	eyeball- neonate N16
FF:0011424	heart- neonate N16
FF:0011425	small intestine- neonate N16
FF:0011426	thymus- neonate N20
FF:0011427	heart- neonate N20
FF:0011428	lung- neonate N20
FF:0011429	liver- neonate N20
FF:0011430	spleen- neonate N20
FF:0011431	intestine- neonate N20
FF:0011432	kidney- neonate N20
FF:0011433	testis- neonate N20
FF:0011434	whole body- embryo E12
FF:0011435	prostate- adult
FF:0011436	intestinal mucosa- adult
FF:0011437	urinary bladder- adult
FF:0011438	mouse vagina- adult
FF:0011439	ovary- adult
FF:0011440	uterus- adult
FF:0011441	intestine- embryo E15
FF:0011442	oviduct- adult pregnant day01
FF:0011443	CD14-positive monocytes - treated with IFN + N-hexane
FF:0011444	CD14-positive monocytes - treated with Trehalose dimycolate (TDM)
FF:0011445	CD326-positive+ enterocyte isolated from mice- treated with RANKL- day03
FF:0011446	CD4-positiveCD25-CD44- naive conventional T cells stimulated with alphaCD3_CD28 - 06hr- (C57BL_6J)
FF:0011447	CD4-positiveCD25-CD44- naive conventional T cells stimulated with alphaCD3_CD28- 06hr- (Balb_cAJcl)
FF:0011448	CD4-positiveCD25-CD44- naive conventional T cells stimulated with PMA an ionomycin- 02hr- (C57BL_6J)
FF:0011449	CD4-positiveCD25-CD44- naive conventional T cells stimulated with PMA an ionomycin- 02hr- (Balb_cAJcl)
FF:0011450	CD4-positiveCD25-CD44- naive conventional T cells- (C57BL_6J)
FF:0011451	CD4-positiveCD25-CD44- naive conventional T cells- (Balb_cAJcl)
FF:0011454	CD4-positiveCD25-positive regulatory T cells (C57BL_6J)
FF:0011455	CD4-positiveCD25-positive regulatory T cells (Balb_cAJcl)
FF:0011458	tongue epidermis (fungiform papillae)
FF:0011459	tongue epidermis (vallate papillae)- donor1
FF:0011460	Fingernail (including nail plate- eponychium and hyponychium)
FF:0011461	Mouse hepatic Stellate Cells (lipocyte)
FF:0011462	bone- os femoris - neonate N16
FF:0011463	bone- os femoris - neonate N2
FF:0011464	bone- os femoris - adult
FF:0011465	medulla oblongata- neonate N30
FF:0011466	adrenal gland - neonate N25
FF:0011467	bone- os femoris - neonate N20
FF:0011468	CD41-positive megakaryocyte control
FF:0011469	cortex- neonate N30
FF:0011470	diencephalon- neonate N30
FF:0011471	epididymis and seminiferous tubule- neonate N30
FF:0011472	epitheloid carcinoma cell line: HelaS3 ENCODE
FF:0011473	Follicle Associated Epithelium
FF:0011474	heart- neonate N03
FF:0011475	heart- neonate N25
FF:0011476	heart- neonate N30
FF:0011477	Ileum epithelium 1h after RANKL
FF:0011478	Ileum epithelium 3days after RANKL
FF:0011479	Ileum epithelium 3h after RANKL
FF:0011480	intestine- neonate N25
FF:0011481	intestine- neonate N30
FF:0011482	kidney- neonate N25
FF:0011483	kidney- neonate N30
FF:0011484	liver- neonate N03
FF:0011485	liver- neonate N25
FF:0011486	liver- neonate N30
FF:0011487	locus coeruleus- adult
FF:0011488	lung- neonate N25
FF:0011489	lung- neonate N30
FF:0011490	muscle - biceps femoris- neonate N30
FF:0011491	spleen- neonate N25
FF:0011492	stomach- embryo E17
FF:0011493	stomach- neonate N25
FF:0011494	stomach- neonate N30
FF:0011495	testis- neonate N30
FF:0011496	thymus- neonate N25
FF:0011497	thymus- neonate N30
FF:0011498	stomach, neonate N03
FF:0011502	ES cells differentiated towards cardiomyocyte- day12
FF:0011503	trophoblast stem cell line R1AB differentiation- day01
FF:0011504	intestine- neonate N01
FF:0011505	adrenal gland - neonate N00
FF:0011506	epididymis and seminiferous tubule- neonate N00
FF:0011507	pituitary gland- neonate N00
FF:0011508	TSt-4/DLL1 feeder cells
FF:0011509	testis- neonate N00
FF:0011510	ovary, neonate N00
FF:0011511	intestine- embryo E18
FF:0011512	kidney- embryo E18
FF:0011513	lung- embryo E18
FF:0011514	stomach- embryo E18
FF:0011515	heart- embryo E18
FF:0011516	thymus- embryo E18
FF:0011517	spleen-, embryo E18
FF:0011518	adrenal gland - embryo E18
FF:0011519	pituitary gland- embryo E17
FF:0011520	adrenal gland - embryo E17
FF:0011521	eyeball- embryo E17
FF:0011522	adrenal gland - embryo E16
FF:0011523	stomach- embryo E15
FF:0011524	natural helper cells- IL2 treated, day15
FF:0011525	cortex- adult
FF:0100003	intestinal cell line
FF:0100007	HEK-293 cell
FF:0100016	A-172 cell
FF:0100017	A-431 cell
FF:0100018	A-549 cell
FF:0100067	kidney cell line
FF:0100093	MCF-7 cell
FF:0100101	astrocytoma cell line
FF:0100104	lymphoma cell line
FF:0100161	lung fibroblast cell line
FF:0100167	adenocarcinoma cell line
FF:0100179	Colo-205 cell
FF:0100189	small cell lung cancer cell
FF:0100195	CACO-2 cell
FF:0100197	carcinosarcoma cell
FF:0100224	liver cell line
FF:0100255	brain cell line
FF:0100297	carcinoma cell line
FF:0100304	PANC-1 cell
FF:0100306	teratocarcinoma cell line
FF:0100353	lung cell line
FF:0100356	breast cancer cell line
FF:0100372	bone cancer cell
FF:0100383	renal cell carcinoma cell line
FF:0100385	bone cancer cell line
FF:0100400	sarcoma cell line
FF:0100407	osteosarcoma cell line
FF:0100453	fibroblast cell line
FF:0100458	WI-38 cell
FF:0100460	fibrosarcoma cell line
FF:0100578	hepatoma cell line
FF:0100583	bone marrow cancer cell
FF:0100599	Hep-G2 cell
FF:0100603	pre-B acute lymphoblastic leukemia cell line
FF:0100658	uterine adenocarcinoma cell
FF:0100661	JURKAT cell
FF:0100664	K-562 cell
FF:0100666	LoVo cell
FF:0100669	embryonic cell line
FF:0100678	G-402 cell
FF:0100690	brain cancer cell line
FF:0100711	glioma cell line
FF:0100729	carcinoid cell
FF:0100732	KU-812 cell
FF:0100736	CCRF-CEM cell
FF:0100737	leukemia cell line
FF:0100739	lymphoblastic leukemia cell line
FF:0100740	myeloid leukemia cell line
FF:0100741	lymphocytic leukemia cell line
FF:0100762	lung cancer cell line
FF:0100773	lymphoblastoid cell line
FF:0100786	tongue cancer cell line
FF:0100787	gastric cancer cell line
FF:0100790	pharyngeal cancer cell line
FF:0100792	urinary bladder cancer cell line
FF:0100794	pancreatic cancer cell line
FF:0100797	colonic cancer cell line
FF:0100798	BeWo cell
FF:0100811	ovary cancer cell line
FF:0100816	breast cell line
FF:0100819	pharyngeal cell line
FF:0100834	Detroit 562 cell
FF:0100849	melanoma cell line
FF:0100889	Burkitt lymphoma cell line
FF:0100898	myeloma cell
FF:0100899	myeloma cell line
FF:0100919	8305C cell
FF:0100932	neuroblastoma cell line
FF:0100946	NT2/D1 cell
FF:0100969	osteoclastoma cell
FF:0100971	SAOS-2 cell
FF:0100977	ovary cell line
FF:0100978	CMK cell
FF:0101000	acute megakaryocytic leukemia cell line
FF:0101014	Mo-T cell
FF:0101019	prostate gland cell line
FF:0101033	prostate cancer cell line
FF:0101035	hematopoietic cell line
FF:0101061	PC-3 cell
FF:0101081	MOLT-3 cell
FF:0101092	KATO-III cell
FF:0101120	epithelial cell line
FF:0101154	RAJI cell
FF:0101225	MKN-45 cell
FF:0101282	HT-1080 cell
FF:0101321	LNCaP cell
FF:0101332	DU-145 cell
FF:0101345	T-24 cell
FF:0101359	medulloblastoma cell line
FF:0101370	THP-1 cell
FF:0101455	thymic carcinoma cell
FF:0101518	B-lymphoma cell line
FF:0101521	pancreatic adenocarcinoma cell line
FF:0101522	B-lymphocyte cell line
FF:0101524	WIL2-NS cell
FF:0101530	glioblastoma cell line
FF:0101531	glial cell line
FF:0101532	rectal cancer cell line
FF:0101533	gastrointestinal cancer cell
FF:0101549	megakaryocytic cell line
FF:0101555	endometrial cancer cell line
FF:0101560	testicular cancer cell line
FF:0101561	DAUDI cell
FF:0101574	chondrosarcoma cell line
FF:0101575	choriocarcinoma cell line
FF:0101581	embryonic stem cell line
FF:0101583	T-98G cell
FF:0101584	G-361 cell
FF:0101591	PA-1 cell
FF:0101596	MG-63 cell
FF:0101610	thyroid cancer cell line
FF:0101616	colorectal cancer cell line
FF:0101620	SK-N-SH cell
FF:0101664	hepatoblastoma cell line
FF:0101670	HuH-6 cell
FF:0101874	lens epithelial cell line
FF:0101882	ovary adenocarcinoma cell line
FF:0101883	acute myeloid leukemia cell line
FF:0101908	MDA-MB-453 cell
FF:0101910	NCI-H441 cell
FF:0101911	lung adenocarcinoma cell line
FF:0101912	breast adenocarcinoma cell line
FF:0101913	colonic adenocarcinoma cell line
FF:0101914	colorectal adenocarcinoma cell line
FF:0101950	HuH-7 cell
FF:0101952	HPB-ALL cell
FF:0101958	embryonic fibroblast cell line
FF:0101959	PEER cell
FF:0101967	cervical cancer cell line
FF:0102003	SW-1353 cell
FF:0102024	squamous cell carcinoma cell line
FF:0102025	HSC-3 cell
FF:0102026	HSC-4 cell
FF:0102027	oral cancer cell line
FF:0102047	Colo-320 cell
FF:0102057	lung adenocarcinoma cell
FF:0102058	non-small cell lung cancer cell
FF:0102060	bronchioalveolar carcinoma cell
FF:0102061	bronchogenic carcinoma cell
FF:0102062	B-lymphoblastoid cell line
FF:0102144	acute lymphoblastic leukemia cell line
FF:0102202	lung squamous cell carcinoma cell line
FF:0102205	large cell lung cancer cell line
FF:0102206	small cell lung cancer cell line
FF:0102207	NCI-H460 cell
FF:0102211	oral squamous cell carcinoma cell line
FF:0102219	adrenocortical carcinoma cell
FF:0102267	rhabdomyosarcoma cell line
FF:0102285	granulosa cell line
FF:0102332	monocytic leukemia cell line
FF:0102380	gastric adenocarcinoma cell line
FF:0102382	MKN-7 cell
FF:0102383	MKN-74 cell
FF:0102384	MKN-1 cell
FF:0102403	OS-RC-2 cell
FF:0102411	giant cell carcinoma cell line
FF:0102424	mesothelioma cell line
FF:0102428	esophageal squamous cell carcinoma cell line
FF:0102431	HuO-3N1 cell
FF:0102488	uterine leiomyosarcoma cell line
FF:0102504	T-lymphoblastic leukemia cell line
FF:0102521	diffuse large B-cell lymphoma cell
FF:0102553	non-small cell lung cancer cell line
FF:0102580	chronic myeloid leukemia cell line
FF:0102581	MEG-01 cell
FF:0102586	G-401 cell
FF:0102595	leiomyosarcoma cell line
FF:0102607	SK-LMS-1 cell
FF:0102694	leiomyoma cell
FF:0102709	head and neck squamous cell carcinoma cell line
FF:0102733	embryonic kidney cell line
FF:0102787	clear cell adenocarcinoma cell
FF:0102788	mucinous adenocarcinoma cell
FF:0102817	esophageal cancer cell line
FF:0102835	NCI-H358 cell
FF:0102842	cholangioma cell
FF:0102867	TE-6 cell
FF:0102868	bladder transitional cell carcinoma cell line
FF:0102869	transitional cell carcinoma cell line
FF:0102870	RT-4 cell
FF:0102877	PC-14 cell
FF:0102912	neuroepithelioma cell line
FF:0102914	SK-N-MC cell
FF:0102918	HMV-II cell
FF:0102919	retinoblastoma cell line
FF:0102920	Y-79 cell
FF:0102936	vaginal cell line
FF:0102989	CHP-134 cell
FF:0102992	ARH-77 cell
FF:0103001	EBC-1 cell
FF:0103008	NCI-H226 cell
FF:0103026	NCI-H82 cell
FF:0103046	neurofibroma cell
FF:0103071	HLEC-SRA 01/04 cell
FF:0103073	medullary thyroid carcinoma cell line
FF:0103074	TT cell
FF:0103109	CaSki cell
FF:0103137	5637 cell
FF:0103187	SNU-423 cell
FF:0103191	SNU-387 cell
FF:0103192	renal cancer cell line
FF:0103209	anaplastic thyroid cancer cell line
FF:0103212	T-lymphoma cell line
FF:0103225	neurilemoma cell line
FF:0103233	FaDu cell
FF:0103288	NALM-6 cell
FF:0103296	bone marrow stromal cell line
FF:0103493	SUIT-2 cell
FF:0103502	OVSAHO cell
FF:0103503	OVKATE cell
FF:0103505	T-cell chronic lymphocytic leukemia cell
FF:0103513	hepatic stellate cell line
FF:0103519	LI90 cell
FF:0103533	NOR-P1 cell
FF:0103568	mammary gland cell line
FF:0103681	hairy cell leukemia cell line
FF:0103714	VMRC-RCW cell
FF:0103729	TUHR-4TKB cell
FF:0103730	TUHR-14TKB cell
FF:0103731	RCC-10RGB cell
FF:0103732	TUHR-10TKB cell
FF:0103739	TALL-1 cell
FF:0103743	SW-872 cell
FF:0103744	liposarcoma cell line
FF:0103764	NCI cell
FF:0103765	dermatofibroma cell line
FF:0103766	giant cell tumor cell line
FF:0103803	serous adenocarcinoma cell line
FF:0103849	adenosquamous carcinoma cell
FF:0103881	HSC-2 cell
FF:0103883	pancreatic ductal adenocarcinoma cell line
FF:0103910	bile duct cancer cell line
FF:0103911	HuCCT-1 cell
FF:0103980	tongue squamous cell carcinoma cell line
FF:0103981	SAS cell
FF:0104049	adult T-cell lymphoma cell line
FF:0104053	umbilical cord blood
FF:0104078	non-small cell lung adenocarcinoma cell line
FF:0104079	H-650 cell
FF:0104086	mammary gland tumor cell line
FF:0104137	KCL-22 cell
FF:0104174	MOLT-17 cell
FF:0104201	Ewing's sarcoma cell line
FF:0104204	nasal squamous cell carcinoma cell line
FF:0104205	RPMI-2650 cell
FF:0104328	DAOY cell
FF:0104398	meningioma cell line
FF:0104439	hypopharyngeal carcinoma cell line
FF:0104511	serous cystadenocarcinoma cell
FF:0104546	hypopharyngeal squamous cell carcinoma cell line
FF:0104598	TE-15 cell
FF:0104600	TE-8 cell
FF:0104601	TE-1 cell
FF:0104785	Ewing's sarcoma family tumor cell line
FF:0104802	bronchioloalveolar carcinoma cell
FF:0104828	HGC-27 cell
FF:0104854	PK-1 cell
FF:0104868	anaplastic large cell lymphoma cell line
FF:0104883	cystadenocarcinoma cell line
FF:0104929	RMG-II cell
FF:0104959	C4-2B cell
FF:0104965	8505C cell
FF:0104973	Hodgkin lymphoma cell line
FF:0104975	myotube cell
FF:0104976	nasal epithelial cell
FF:0104978	HEp-2 cell
FF:0200001	macrophage, TB infection
FF:0200002	olfactory epithelial cell
FF:0200003	iPS differentiation to neuron, control
FF:0200004	iPS differentiation to neuron, down-syndrome donor
FF:0200005	iPS differentiation to neuron
FF:0200006	myoblast differentiation to myotubes, control
FF:0200011	THP-1 control
FF:0200020	osteoclast, bone marrow-derived
FF:0200021	macrophage, bone marrow-derived
FF:0200022	gamma delta positive T cells
